epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,159.547,1.54651,3.19658,1.76992,1.6824,0.33593,0.19027,0.15378,0.06075,0.29319,0.13665,0.06792,0.0235,2.23259,5.03385,3.50892,2.52153,0.0038615,0.0038615,0.0038615
48,162.176,1.48237,3.04341,1.71733,1.65022,0.22529,0.24381,0.12957,0.05237,0.22895,0.13566,0.06515,0.02306,2.2839,5.09381,3.51573,2.50262,0.00383675,0.00383675,0.00383675
49,164.824,1.45759,2.99268,1.67909,1.61158,0.20052,0.31996,0.12303,0.05133,0.17074,0.20538,0.07523,0.02137,2.24513,4.85719,3.0795,2.44589,0.003812,0.003812,0.003812
50,167.534,1.49221,3.04359,1.67913,1.61461,0.2229,0.27873,0.15233,0.06043,0.19725,0.20052,0.09046,0.0266,2.11323,4.6014,2.85967,2.3351,0.00378725,0.00378725,0.00378725
51,170.228,1.46631,2.99728,1.65301,1.60705,0.29553,0.22724,0.15497,0.06536,0.27615,0.18265,0.08894,0.03025,2.00683,4.24403,2.79463,2.22875,0.0037625,0.0037625,0.0037625
52,172.919,1.4993,3.0629,1.71468,1.63601,0.336,0.33875,0.20633,0.09369,0.29554,0.26213,0.1332,0.0457,1.96094,3.74497,2.47719,2.21442,0.00373775,0.00373775,0.00373775
53,175.907,1.44483,2.93519,1.63838,1.59902,0.34487,0.32996,0.23528,0.1063,0.13628,0.2676,0.1418,0.0507,1.92735,3.72597,2.39242,2.19399,0.003713,0.003713,0.003713
54,178.913,1.50643,2.99531,1.68591,1.62825,0.3832,0.28544,0.23764,0.10815,0.23078,0.26671,0.13574,0.04526,1.91962,3.91916,2.54901,2.20317,0.00368825,0.00368825,0.00368825
55,181.557,1.41839,2.98877,1.569,1.56904,0.39864,0.25561,0.22267,0.09845,0.28184,0.18607,0.11464,0.03925,1.91488,4.11881,2.63649,2.19154,0.0036635,0.0036635,0.0036635
56,184.211,1.46111,2.99098,1.70032,1.58855,0.33677,0.25133,0.20052,0.09322,0.51045,0.13715,0.11266,0.04006,1.98291,4.23168,2.67045,2.25047,0.00363875,0.00363875,0.00363875
57,186.96,1.44734,2.94128,1.6507,1.60909,0.59838,0.22157,0.20171,0.09534,0.49784,0.12212,0.08835,0.0317,1.96443,5.00478,2.5689,2.28059,0.003614,0.003614,0.003614
58,189.682,1.44516,3.0269,1.63879,1.61566,0.49352,0.24913,0.20548,0.08778,0.39746,0.10907,0.06946,0.02393,2.05584,4.75004,2.58042,2.30801,0.00358925,0.00358925,0.00358925
59,192.335,1.43764,2.95575,1.60213,1.58791,0.52703,0.24549,0.20939,0.09721,0.41577,0.1463,0.09735,0.03567,1.96517,4.21423,2.68801,2.24266,0.0035645,0.0035645,0.0035645
60,195.063,1.43422,2.97088,1.63066,1.59191,0.48027,0.24216,0.19668,0.0889,0.32716,0.18373,0.11138,0.0384,2.0218,3.8663,2.62664,2.27505,0.00353975,0.00353975,0.00353975
61,197.774,1.4723,2.98862,1.665,1.64695,0.61191,0.21034,0.20131,0.08812,0.53711,0.14672,0.11901,0.04212,2.00505,3.78011,2.55844,2.27133,0.003515,0.003515,0.003515
62,200.499,1.43948,2.95131,1.58012,1.55065,0.58934,0.25383,0.19449,0.08392,0.51603,0.16325,0.10459,0.036,1.92748,3.72794,2.57341,2.25514,0.00349025,0.00349025,0.00349025
63,203.128,1.3768,2.80703,1.54193,1.55845,0.19976,0.31472,0.19444,0.08623,0.14808,0.22582,0.12003,0.04379,1.96164,3.62641,2.50949,2.25345,0.0034655,0.0034655,0.0034655
64,205.898,1.38596,2.94586,1.60774,1.57419,0.30472,0.26561,0.22092,0.10305,0.26768,0.19383,0.15137,0.05594,1.91636,3.50062,2.36946,2.19528,0.00344075,0.00344075,0.00344075
65,208.919,1.43916,2.88709,1.56346,1.60402,0.33955,0.28293,0.23756,0.11777,0.34445,0.21164,0.17703,0.06378,1.85977,3.54582,2.31298,2.15076,0.003416,0.003416,0.003416
66,211.897,1.37653,2.95513,1.54385,1.52254,0.32333,0.30564,0.22064,0.11237,0.31756,0.26015,0.16182,0.06268,1.85517,3.79935,2.44248,2.12438,0.00339125,0.00339125,0.00339125
67,214.598,1.38028,2.80897,1.53959,1.54903,0.45002,0.26131,0.19827,0.08898,0.45214,0.23095,0.15219,0.04995,1.87647,3.58339,2.82062,2.14037,0.0033665,0.0033665,0.0033665
68,217.307,1.41146,2.80632,1.49362,1.5291,0.40027,0.28658,0.19093,0.08098,0.36897,0.23304,0.13287,0.04047,1.9362,3.71774,3.20538,2.192,0.00334175,0.00334175,0.00334175
69,220.009,1.37775,2.86784,1.54823,1.54348,0.37668,0.299,0.19349,0.08553,0.33024,0.21826,0.11835,0.04047,1.90508,3.88812,3.12895,2.18504,0.003317,0.003317,0.003317
70,222.746,1.35981,2.83346,1.51043,1.55802,0.3965,0.29309,0.22016,0.10429,0.25536,0.25107,0.16901,0.05608,1.83781,3.64996,2.68413,2.12112,0.00329225,0.00329225,0.00329225
71,225.449,1.36702,2.76657,1.47283,1.51933,0.4698,0.28518,0.25419,0.12916,0.44566,0.21347,0.18945,0.07167,1.81655,3.58269,2.50602,2.0547,0.0032675,0.0032675,0.0032675
72,228.444,1.34737,2.70389,1.46604,1.51933,0.37362,0.28618,0.25798,0.12196,0.5617,0.18209,0.18547,0.06812,1.90125,3.58787,2.35904,2.09572,0.00324275,0.00324275,0.00324275
73,231.138,1.33812,2.79819,1.50481,1.53352,0.43992,0.26898,0.26405,0.13075,0.40521,0.22376,0.18799,0.07654,1.91318,3.50992,2.29113,2.1413,0.003218,0.003218,0.003218
74,234.156,1.35792,2.77173,1.45808,1.49074,0.48707,0.23889,0.27169,0.1287,0.54278,0.19486,0.19083,0.07464,1.89541,3.52348,2.21721,2.12628,0.00319325,0.00319325,0.00319325
75,236.862,1.35873,2.74339,1.49879,1.53751,0.55334,0.24741,0.28789,0.14095,0.48205,0.19266,0.20063,0.07077,1.86772,3.49416,2.14415,2.101,0.0031685,0.0031685,0.0031685
76,239.961,1.36487,2.76183,1.47429,1.53277,0.52085,0.26936,0.28306,0.13661,0.44256,0.23065,0.18731,0.07058,1.8338,3.52983,2.18415,2.0772,0.00314375,0.00314375,0.00314375
77,242.67,1.33119,2.80086,1.49957,1.55109,0.39551,0.31805,0.25564,0.13286,0.5081,0.1917,0.17672,0.07398,1.86198,3.60903,2.33388,2.09306,0.003119,0.003119,0.003119
78,245.428,1.34324,2.68219,1.44532,1.50234,0.60683,0.25007,0.25472,0.12793,0.56038,0.20768,0.1817,0.07601,1.87269,3.60294,2.37925,2.08622,0.00309425,0.00309425,0.00309425
79,248.146,1.3261,2.76224,1.48199,1.52159,0.68776,0.20845,0.25117,0.12165,0.28368,0.24921,0.17444,0.06987,1.86509,3.47755,2.34205,2.0593,0.0030695,0.0030695,0.0030695
80,251.088,1.33393,2.73294,1.41549,1.48724,0.24323,0.36545,0.25652,0.12421,0.49938,0.19148,0.18399,0.07509,1.82171,3.35605,2.22157,2.01838,0.00304475,0.00304475,0.00304475
81,253.722,1.28719,2.62749,1.3804,1.44086,0.54809,0.23592,0.24691,0.12612,0.49129,0.203,0.18671,0.07162,1.83731,3.30385,2.19933,2.03223,0.00302,0.00302,0.00302
82,256.508,1.26585,2.57978,1.39333,1.4605,0.60184,0.23603,0.26257,0.12646,0.35029,0.26038,0.18531,0.07019,1.86503,3.39688,2.277,2.08931,0.00299525,0.00299525,0.00299525
83,259.24,1.33044,2.65443,1.38124,1.48218,0.3306,0.35649,0.25708,0.12234,0.28824,0.26597,0.17234,0.06998,1.88142,3.48232,2.37717,2.1242,0.0029705,0.0029705,0.0029705
84,261.956,1.30139,2.58908,1.41358,1.48189,0.33121,0.35633,0.24082,0.1123,0.27186,0.26096,0.15831,0.06777,1.91238,3.58029,2.47332,2.17078,0.00294575,0.00294575,0.00294575
85,264.686,1.29666,2.54942,1.34415,1.45943,0.63433,0.27583,0.2321,0.11274,0.58833,0.19912,0.16976,0.06248,1.87935,3.56582,2.31304,2.12937,0.002921,0.002921,0.002921
86,267.353,1.27133,2.52566,1.36496,1.46692,0.43194,0.33655,0.24816,0.12332,0.38489,0.28726,0.17929,0.07505,1.84816,3.45291,2.23677,2.09492,0.00289625,0.00289625,0.00289625
87,270.106,1.25181,2.50607,1.31631,1.46548,0.43588,0.27741,0.24284,0.12345,0.40881,0.22892,0.18762,0.08029,1.84828,3.44003,2.28079,2.09301,0.0028715,0.0028715,0.0028715
88,272.72,1.26561,2.5823,1.35537,1.49119,0.50227,0.32272,0.25176,0.12947,0.42794,0.268,0.17814,0.08015,1.8567,3.37499,2.20534,2.09187,0.00284675,0.00284675,0.00284675
89,275.511,1.33541,2.66293,1.37896,1.48997,0.57075,0.30964,0.25523,0.13094,0.52498,0.27318,0.18256,0.07154,1.85169,3.4531,2.19866,2.08749,0.002822,0.002822,0.002822
90,278.206,1.28757,2.57143,1.36569,1.47068,0.52894,0.31873,0.25039,0.12971,0.48296,0.2761,0.18135,0.0731,1.8385,3.39373,2.15914,2.07181,0.00279725,0.00279725,0.00279725
91,280.846,1.295,2.57326,1.35006,1.45465,0.52357,0.31129,0.24693,0.12601,0.47866,0.27257,0.1821,0.06703,1.81205,3.45106,2.19795,2.05879,0.0027725,0.0027725,0.0027725
92,283.61,1.30941,2.63851,1.41558,1.4843,0.42851,0.30985,0.24014,0.12511,0.39626,0.26272,0.18,0.06377,1.83657,3.45193,2.3066,2.11311,0.00274775,0.00274775,0.00274775
93,286.27,1.29479,2.50835,1.32225,1.47193,0.30373,0.31023,0.24478,0.12306,0.29125,0.2605,0.18472,0.06402,1.85629,3.41458,2.31672,2.10473,0.002723,0.002723,0.002723
94,288.958,1.35575,2.60127,1.42163,1.48162,0.35873,0.33682,0.24889,0.13431,0.33866,0.26923,0.18896,0.07161,1.82039,3.32039,2.29766,2.03629,0.00269825,0.00269825,0.00269825
95,291.699,1.29716,2.50919,1.35793,1.49758,0.3233,0.34931,0.26164,0.12975,0.29075,0.26569,0.20044,0.07164,1.80683,3.31393,2.24125,1.9959,0.0026735,0.0026735,0.0026735
96,294.368,1.21853,2.40289,1.28649,1.45921,0.37938,0.34708,0.26814,0.13145,0.34813,0.29263,0.1993,0.07287,1.81295,3.25958,2.18192,2.00307,0.00264875,0.00264875,0.00264875
97,297.111,1.25686,2.45419,1.29886,1.45883,0.41079,0.30177,0.28879,0.14511,0.34099,0.25554,0.20155,0.07438,1.72971,3.23151,2.11973,1.9514,0.002624,0.002624,0.002624
98,300.05,1.23724,2.44752,1.30536,1.44115,0.30761,0.3526,0.33278,0.17795,0.24716,0.28468,0.24083,0.09485,1.69374,3.1888,1.98575,1.92595,0.00259925,0.00259925,0.00259925
99,303.039,1.23906,2.38258,1.30969,1.43516,0.68526,0.26116,0.31857,0.17816,0.2309,0.33252,0.24608,0.10494,1.71855,3.1429,1.94599,1.92565,0.0025745,0.0025745,0.0025745
100,305.995,1.18386,2.4497,1.24153,1.4045,0.3495,0.3197,0.31477,0.17245,0.4627,0.24995,0.2531,0.11471,1.74758,3.09389,1.99879,1.95897,0.00254975,0.00254975,0.00254975
101,308.889,1.2171,2.38353,1.29433,1.40621,0.29466,0.36466,0.30696,0.17215,0.26701,0.32552,0.24729,0.11581,1.74485,3.03304,2.01555,1.95606,0.002525,0.002525,0.002525
102,311.811,1.1992,2.37256,1.25721,1.43437,0.55305,0.32199,0.29508,0.17483,0.53894,0.31815,0.27096,0.1107,1.72675,3.11363,2.00248,1.95643,0.00250025,0.00250025,0.00250025
103,314.427,1.23587,2.42165,1.28162,1.44193,0.55537,0.30877,0.30634,0.17856,0.52449,0.28025,0.26098,0.11156,1.7238,3.17318,1.98173,1.9638,0.0024755,0.0024755,0.0024755
104,317.394,1.227,2.42852,1.26516,1.41867,0.55302,0.28928,0.30924,0.17811,0.51816,0.26153,0.24703,0.09799,1.72885,3.30623,2.02088,1.98536,0.00245075,0.00245075,0.00245075
105,319.998,1.22502,2.44597,1.27193,1.42418,0.56349,0.34127,0.30797,0.17481,0.50532,0.2582,0.22833,0.09493,1.75247,3.42472,2.05437,2.00835,0.002426,0.002426,0.002426
106,322.903,1.17776,2.29609,1.22725,1.42049,0.73934,0.26033,0.27731,0.1518,0.70432,0.2323,0.2178,0.08263,1.73421,3.35534,2.00386,1.99467,0.00240125,0.00240125,0.00240125
107,325.668,1.18519,2.37451,1.23707,1.40728,0.72369,0.24752,0.31358,0.15964,0.66064,0.20342,0.24591,0.09531,1.75282,3.22106,2.0048,2.02212,0.0023765,0.0023765,0.0023765
108,328.306,1.17544,2.24721,1.17127,1.38924,0.47101,0.31876,0.29589,0.14496,0.72179,0.2089,0.24498,0.09613,1.76104,3.1874,2.03248,2.01795,0.00235175,0.00235175,0.00235175
109,330.941,1.16099,2.30915,1.21185,1.38025,0.45297,0.32078,0.27991,0.15227,0.27889,0.31181,0.22449,0.09168,1.73304,3.22191,2.04263,1.99389,0.002327,0.002327,0.002327
110,333.626,1.20341,2.41542,1.26936,1.41223,0.339,0.35335,0.2819,0.15939,0.30169,0.31006,0.23309,0.09899,1.7059,3.20458,1.96549,1.95604,0.00230225,0.00230225,0.00230225
111,336.376,1.20591,2.2875,1.22824,1.41299,0.34596,0.3765,0.30648,0.1626,0.31957,0.32195,0.24914,0.10577,1.69678,3.12426,1.93754,1.92985,0.0022775,0.0022775,0.0022775
112,339.016,1.16786,2.39438,1.20494,1.37605,0.47828,0.38216,0.31315,0.16792,0.4426,0.33267,0.24877,0.1038,1.61285,3.05345,1.88468,1.88105,0.00225275,0.00225275,0.00225275
113,341.726,1.20431,2.401,1.23862,1.41198,0.44926,0.371,0.30916,0.17257,0.41914,0.32753,0.24037,0.0978,1.59048,3.09613,1.88711,1.87019,0.002228,0.002228,0.002228
114,344.357,1.21423,2.36861,1.23615,1.42806,0.66931,0.30606,0.31183,0.17025,0.62596,0.2589,0.25446,0.09506,1.62293,3.17601,1.92947,1.88495,0.00220325,0.00220325,0.00220325
115,346.949,1.16369,2.26604,1.16238,1.38687,0.63554,0.31351,0.29985,0.16351,0.60338,0.23598,0.23908,0.0909,1.67418,3.29051,1.96425,1.93762,0.0021785,0.0021785,0.0021785
116,349.569,1.10738,2.22187,1.17622,1.37867,0.65093,0.30898,0.29494,0.15558,0.74049,0.20082,0.22048,0.09021,1.71185,3.31417,1.99867,1.97753,0.00215375,0.00215375,0.00215375
117,352.363,1.15863,2.31812,1.17361,1.37402,0.61838,0.28825,0.28869,0.15569,0.69765,0.23609,0.23151,0.09434,1.71533,3.20605,2.02278,1.95703,0.002129,0.002129,0.002129
