epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,633.61,2.20394,4.70771,3.22247,2.39391,0.21198,0.11889,0.02833,0.0077,0.19301,0.03319,0.00557,0.00132,2.65864,5.10674,4.15537,2.94149,0.0014456,0.0014456,0.0014456
58,644.063,2.2189,4.61352,3.18508,2.3759,0.1282,0.09419,0.02633,0.00877,0.10218,0.03608,0.00541,0.00151,2.44744,5.14263,3.87887,2.7557,0.0014357,0.0014357,0.0014357
59,654.937,2.14415,4.75612,3.18296,2.36881,0.05182,0.08516,0.02733,0.00927,0.10781,0.03824,0.00887,0.00236,2.41673,5.04772,3.52925,2.75793,0.0014258,0.0014258,0.0014258
60,666.324,2.25046,4.64687,3.16931,2.41813,0.21104,0.08699,0.03071,0.01015,0.19823,0.03391,0.01228,0.00304,2.41279,4.96637,3.40702,2.74551,0.0014159,0.0014159,0.0014159
61,677.866,2.30516,4.66943,3.12766,2.36782,0.40715,0.07361,0.04165,0.01145,0.3794,0.03824,0.01795,0.0039,2.43749,4.95716,3.45544,2.77248,0.001406,0.001406,0.001406
62,689.271,2.10682,4.67851,3.20223,2.36147,0.42091,0.07009,0.03797,0.01218,0.39389,0.03535,0.01765,0.00437,2.45852,4.96599,3.56875,2.77237,0.0013961,0.0013961,0.0013961
63,700.936,2.17847,4.6785,3.06757,2.33859,0.30177,0.09193,0.02624,0.00725,0.29131,0.0303,0.00689,0.00156,2.56521,5.14307,4.0246,2.84603,0.0013862,0.0013862,0.0013862
64,711.563,2.19852,4.74454,3.14458,2.38107,0.30177,0.09193,0.02624,0.00725,0.29131,0.0303,0.00689,0.00156,2.56521,5.14307,4.0246,2.84603,0.0013763,0.0013763,0.0013763
65,722.129,2.23965,4.58908,3.01814,2.34439,0.38805,0.08539,0.02381,0.00679,0.56797,0.01371,0.00924,0.00279,2.63011,5.18651,4.20913,2.91578,0.0013664,0.0013664,0.0013664
66,732.596,2.24498,4.62285,3.14545,2.34947,0.39614,0.06673,0.02857,0.008,0.56793,0.01082,0.00973,0.00283,2.61457,5.07347,4.13809,2.89107,0.0013565,0.0013565,0.0013565
67,743.267,2.13925,4.71714,3.09177,2.32678,0.3228,0.067,0.03335,0.00937,0.39405,0.03608,0.01598,0.00374,2.53478,4.97361,3.76817,2.84339,0.0013466,0.0013466,0.0013466
68,753.811,2.11743,4.66989,3.09405,2.32982,0.03937,0.07892,0.03571,0.01145,0.02508,0.03968,0.01294,0.00362,2.47221,4.97917,3.81323,2.81426,0.0013367,0.0013367,0.0013367
69,764.688,2.12892,4.6322,3.10172,2.29646,0.04447,0.0793,0.0382,0.01209,0.121,0.0292,0.01322,0.00395,2.4913,4.98351,3.95014,2.81191,0.0013268,0.0013268,0.0013268
70,775.113,2.12702,4.72565,3.10668,2.30162,0.14338,0.11354,0.04246,0.01347,0.12123,0.04726,0.02106,0.00575,2.4376,4.89553,3.75916,2.72289,0.0013169,0.0013169,0.0013169
71,786.587,2.18816,4.6348,3.09671,2.30089,0.23858,0.1029,0.05093,0.01419,0.22271,0.057,0.0245,0.00633,2.41892,4.91902,3.52334,2.70068,0.001307,0.001307,0.001307
